Nome do Produto,Categoria do Produto,Preço do Produto (R$),Quantidade de Estoque,Filial,Data da Venda
Corretivo,Eletrônicos,34.39,Indisponivel,Filial 8,Indisponivel
Blush em pó,Eletrônicos,14.21,Indisponivel,Filial 1,Indisponivel
Blush em pó,Roupas,49.56,Indisponivel,Filial 4,Indisponivel
Lápis de sobrancelha,Roupas,78.24,Indisponivel,Filial 9,Indisponivel
Blush em pó,Eletrônicos,28.8,Indisponivel,Filial 4,Indisponivel
Corretivo,Eletrônicos,78.54,Indisponivel,Filial 6,Indisponivel
Base líquida,Alimentos,21.17,Indisponivel,Filial 5,Indisponivel
Lápis de sobrancelha,Alimentos,98.55,Indisponivel,Filial 9,Indisponivel
Corretivo,Roupas,17.88,Indisponivel,Filial 9,Indisponivel
Delineador líquido,Alimentos,90.11,Indisponivel,Filial 5,Indisponivel
Pó compacto,Roupas,44.48,Indisponivel,Filial 10,Indisponivel
Corretivo,Alimentos,16.51,Indisponivel,Filial 4,Indisponivel
Base líquida,Alimentos,11.77,Indisponivel,Filial 1,Indisponivel
Batom matte,Alimentos,21.28,Indisponivel,Filial 4,Indisponivel
Blush em pó,Roupas,50.23,Indisponivel,Filial 7,Indisponivel
Batom líquido,Eletrodomésticos,78.38,Indisponivel,Filial 3,Indisponivel
Base líquida,Alimentos,96.98,Indisponivel,Filial 9,Indisponivel
Máscara de cílios,Eletrodomésticos,94.02,Indisponivel,Filial 2,Indisponivel
Pó compacto,Roupas,13.82,Indisponivel,Filial 8,Indisponivel
Blush em pó,Eletrônicos,54.71,Indisponivel,Filial 1,Indisponivel
Base líquida,Roupas,16.84,Indisponivel,Filial 9,Indisponivel
Blush em pó,Eletrodomésticos,49.52,Indisponivel,Filial 6,Indisponivel
Sombra de olhos,Alimentos,1.82,Indisponivel,Filial 6,Indisponivel
Base líquida,Eletrônicos,87.54,Indisponivel,Filial 3,Indisponivel
Batom líquido,Alimentos,62.75,Indisponivel,Filial 8,Indisponivel
Corretivo,Roupas,40.53,Indisponivel,Filial 1,Indisponivel
Corretivo,Eletrônicos,66.03,Indisponivel,Filial 1,Indisponivel
Sombra de olhos,Alimentos,30.9,Indisponivel,Filial 2,Indisponivel
Sombra de olhos,Alimentos,93.7,Indisponivel,Filial 2,Indisponivel
Batom matte,Eletrônicos,16.74,Indisponivel,Filial 6,Indisponivel
Máscara de cílios,Roupas,60.31,Indisponivel,Filial 7,Indisponivel
Lápis de sobrancelha,Roupas,41.18,Indisponivel,Filial 5,Indisponivel
Blush em pó,Roupas,33.48,Indisponivel,Filial 1,Indisponivel
Delineador líquido,Roupas,92.24,Indisponivel,Filial 7,Indisponivel
Corretivo,Eletrônicos,32.78,Indisponivel,Filial 6,Indisponivel
Batom matte,Roupas,26.54,Indisponivel,Filial 6,Indisponivel
Batom líquido,Roupas,32.29,Indisponivel,Filial 1,Indisponivel
Base líquida,Alimentos,31.38,Indisponivel,Filial 1,Indisponivel
Pó compacto,Roupas,14.42,Indisponivel,Filial 9,Indisponivel
Base líquida,Eletrônicos,23.39,Indisponivel,Filial 7,Indisponivel
Blush em pó,Eletrodomésticos,65.87,Indisponivel,Filial 4,Indisponivel
Batom líquido,Eletrônicos,89.08,Indisponivel,Filial 5,Indisponivel
Blush em pó,Eletrodomésticos,64.68,Indisponivel,Filial 6,Indisponivel
Máscara de cílios,Roupas,86.72,Indisponivel,Filial 2,Indisponivel
Blush em pó,Eletrodomésticos,59.82,Indisponivel,Filial 6,Indisponivel
Sombra de olhos,Alimentos,8.76,Indisponivel,Filial 6,Indisponivel
Delineador líquido,Roupas,84.32,Indisponivel,Filial 10,Indisponivel
Lápis de sobrancelha,Roupas,25.7,Indisponivel,Filial 6,Indisponivel
Lápis de sobrancelha,Alimentos,39.93,Indisponivel,Filial 6,Indisponivel
Máscara de cílios,Eletrônicos,73.88,Indisponivel,Filial 5,Indisponivel
Máscara de cílios,Roupas,11.54,Indisponivel,Filial 3,Indisponivel
Pó compacto,Roupas,38.19,Indisponivel,Filial 2,Indisponivel
Lápis de sobrancelha,Roupas,7.53,Indisponivel,Filial 9,Indisponivel
Máscara de cílios,Roupas,41.23,Indisponivel,Filial 8,Indisponivel
Pó compacto,Eletrodomésticos,63.61,Indisponivel,Filial 3,Indisponivel
Delineador líquido,Eletrodomésticos,77.48,Indisponivel,Filial 1,Indisponivel
Batom líquido,Eletrônicos,83.26,Indisponivel,Filial 4,Indisponivel
Batom líquido,Alimentos,5.28,Indisponivel,Filial 9,Indisponivel
Blush em pó,Eletrônicos,48.99,Indisponivel,Filial 9,Indisponivel
Máscara de cílios,Eletrodomésticos,95.5,Indisponivel,Filial 7,Indisponivel
Lápis de sobrancelha,Alimentos,69.71,Indisponivel,Filial 9,Indisponivel
Sombra de olhos,Eletrônicos,56.48,Indisponivel,Filial 2,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,37.22,Indisponivel,Filial 3,Indisponivel
Pó compacto,Alimentos,38.99,Indisponivel,Filial 7,Indisponivel
Lápis de sobrancelha,Eletrônicos,93.42,Indisponivel,Filial 2,Indisponivel
Máscara de cílios,Alimentos,32.79,Indisponivel,Filial 1,Indisponivel
Batom líquido,Eletrodomésticos,28.41,Indisponivel,Filial 10,Indisponivel
Batom líquido,Alimentos,64.9,Indisponivel,Filial 2,Indisponivel
Batom matte,Alimentos,50.91,Indisponivel,Filial 10,Indisponivel
Corretivo,Eletrodomésticos,80.05,Indisponivel,Filial 7,Indisponivel
Máscara de cílios,Roupas,37.56,Indisponivel,Filial 6,Indisponivel
Delineador líquido,Roupas,4.43,Indisponivel,Filial 3,Indisponivel
Corretivo,Alimentos,57.22,Indisponivel,Filial 10,Indisponivel
Pó compacto,Eletrônicos,29.39,Indisponivel,Filial 8,Indisponivel
Máscara de cílios,Eletrodomésticos,52.55,Indisponivel,Filial 4,Indisponivel
Corretivo,Eletrônicos,51.19,Indisponivel,Filial 1,Indisponivel
Sombra de olhos,Eletrodomésticos,81.02,Indisponivel,Filial 2,Indisponivel
Delineador líquido,Eletrônicos,21.27,Indisponivel,Filial 3,Indisponivel
Máscara de cílios,Eletrônicos,30.74,Indisponivel,Filial 10,Indisponivel
Pó compacto,Alimentos,18.96,Indisponivel,Filial 6,Indisponivel
Delineador líquido,Eletrônicos,39.2,Indisponivel,Filial 6,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,20.39,Indisponivel,Filial 6,Indisponivel
Máscara de cílios,Eletrodomésticos,51.51,Indisponivel,Filial 3,Indisponivel
Blush em pó,Eletrodomésticos,74.75,Indisponivel,Filial 7,Indisponivel
Lápis de sobrancelha,Alimentos,87.02,Indisponivel,Filial 5,Indisponivel
Lápis de sobrancelha,Alimentos,41.28,Indisponivel,Filial 6,Indisponivel
Base líquida,Eletrodomésticos,73.01,Indisponivel,Filial 8,Indisponivel
Delineador líquido,Eletrônicos,6.07,Indisponivel,Filial 6,Indisponivel
Pó compacto,Eletrônicos,15.8,Indisponivel,Filial 7,Indisponivel
Base líquida,Roupas,53.48,Indisponivel,Filial 5,Indisponivel
Batom líquido,Roupas,94.85,Indisponivel,Filial 6,Indisponivel
Base líquida,Alimentos,27.35,Indisponivel,Filial 9,Indisponivel
Batom líquido,Alimentos,21.71,Indisponivel,Filial 2,Indisponivel
Lápis de sobrancelha,Eletrônicos,33.12,Indisponivel,Filial 4,Indisponivel
Delineador líquido,Alimentos,57.82,Indisponivel,Filial 10,Indisponivel
Sombra de olhos,Alimentos,56.38,Indisponivel,Filial 8,Indisponivel
Batom matte,Roupas,6.13,Indisponivel,Filial 4,Indisponivel
Blush em pó,Eletrônicos,1.03,Indisponivel,Filial 1,Indisponivel
Sombra de olhos,Eletrônicos,87.61,Indisponivel,Filial 4,Indisponivel
Lápis de sobrancelha,Alimentos,81.64,Indisponivel,Filial 7,Indisponivel
Batom matte,Roupas,52.88,Indisponivel,Filial 8,Indisponivel
Sombra de olhos,Roupas,14.68,Indisponivel,Filial 2,Indisponivel
Batom líquido,Roupas,77.77,Indisponivel,Filial 8,Indisponivel
Base líquida,Roupas,58.75,Indisponivel,Filial 2,Indisponivel
Blush em pó,Eletrodomésticos,4.6,Indisponivel,Filial 10,Indisponivel
Blush em pó,Eletrônicos,68.5,Indisponivel,Filial 2,Indisponivel
Batom matte,Eletrônicos,27.68,Indisponivel,Filial 7,Indisponivel
Pó compacto,Roupas,7.06,Indisponivel,Filial 6,Indisponivel
Delineador líquido,Roupas,80.8,Indisponivel,Filial 3,Indisponivel
Lápis de sobrancelha,Alimentos,73.06,Indisponivel,Filial 7,Indisponivel
Delineador líquido,Roupas,32.34,Indisponivel,Filial 9,Indisponivel
Sombra de olhos,Alimentos,99.16,Indisponivel,Filial 6,Indisponivel
Máscara de cílios,Eletrodomésticos,63.18,Indisponivel,Filial 10,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,2.36,Indisponivel,Filial 6,Indisponivel
Corretivo,Roupas,93.88,Indisponivel,Filial 8,Indisponivel
Delineador líquido,Eletrodomésticos,60.25,Indisponivel,Filial 1,Indisponivel
Base líquida,Eletrodomésticos,2.41,Indisponivel,Filial 3,Indisponivel
Máscara de cílios,Eletrônicos,29.09,Indisponivel,Filial 8,Indisponivel
Base líquida,Eletrodomésticos,80.7,Indisponivel,Filial 2,Indisponivel
Lápis de sobrancelha,Eletrônicos,15.2,Indisponivel,Filial 7,Indisponivel
Corretivo,Eletrodomésticos,22.22,Indisponivel,Filial 3,Indisponivel
Delineador líquido,Roupas,25.07,Indisponivel,Filial 6,Indisponivel
Corretivo,Alimentos,78.03,Indisponivel,Filial 4,Indisponivel
Delineador líquido,Eletrodomésticos,86.76,Indisponivel,Filial 5,Indisponivel
Batom líquido,Eletrônicos,73.99,Indisponivel,Filial 6,Indisponivel
Batom matte,Eletrônicos,56.21,Indisponivel,Filial 2,Indisponivel
Base líquida,Roupas,74.97,Indisponivel,Filial 4,Indisponivel
Lápis de sobrancelha,Alimentos,94.41,Indisponivel,Filial 10,Indisponivel
Blush em pó,Eletrodomésticos,43.57,Indisponivel,Filial 5,Indisponivel
Sombra de olhos,Roupas,6.08,Indisponivel,Filial 3,Indisponivel
Batom líquido,Eletrodomésticos,7.89,Indisponivel,Filial 8,Indisponivel
Corretivo,Eletrônicos,42.65,Indisponivel,Filial 6,Indisponivel
Base líquida,Alimentos,13.51,Indisponivel,Filial 4,Indisponivel
Delineador líquido,Eletrodomésticos,30.95,Indisponivel,Filial 4,Indisponivel
Base líquida,Roupas,23.74,Indisponivel,Filial 5,Indisponivel
Pó compacto,Alimentos,26.91,Indisponivel,Filial 7,Indisponivel
Máscara de cílios,Eletrônicos,77.73,Indisponivel,Filial 10,Indisponivel
Pó compacto,Eletrodomésticos,69.39,Indisponivel,Filial 2,Indisponivel
Blush em pó,Roupas,56.25,Indisponivel,Filial 10,Indisponivel
Máscara de cílios,Alimentos,96.92,Indisponivel,Filial 1,Indisponivel
Delineador líquido,Alimentos,61.53,Indisponivel,Filial 2,Indisponivel
Batom líquido,Eletrodomésticos,7.55,Indisponivel,Filial 6,Indisponivel
Lápis de sobrancelha,Eletrônicos,70.45,Indisponivel,Filial 5,Indisponivel
Base líquida,Alimentos,7.7,Indisponivel,Filial 5,Indisponivel
Pó compacto,Alimentos,84.75,Indisponivel,Filial 7,Indisponivel
Sombra de olhos,Eletrônicos,67.51,Indisponivel,Filial 6,Indisponivel
Corretivo,Alimentos,5.23,Indisponivel,Filial 1,Indisponivel
Blush em pó,Eletrônicos,48.89,Indisponivel,Filial 6,Indisponivel
Máscara de cílios,Eletrônicos,15.97,Indisponivel,Filial 9,Indisponivel
Batom matte,Eletrônicos,79.01,Indisponivel,Filial 5,Indisponivel
Sombra de olhos,Alimentos,81.58,Indisponivel,Filial 10,Indisponivel
Máscara de cílios,Roupas,94.88,Indisponivel,Filial 8,Indisponivel
Sombra de olhos,Eletrônicos,53.36,Indisponivel,Filial 2,Indisponivel
Sombra de olhos,Roupas,94.68,Indisponivel,Filial 6,Indisponivel
Lápis de sobrancelha,Eletrônicos,72.32,Indisponivel,Filial 9,Indisponivel
Sombra de olhos,Roupas,12.09,Indisponivel,Filial 9,Indisponivel
Corretivo,Alimentos,36.31,Indisponivel,Filial 5,Indisponivel
Sombra de olhos,Eletrodomésticos,44.24,Indisponivel,Filial 6,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,14.91,Indisponivel,Filial 9,Indisponivel
Batom matte,Roupas,31.82,Indisponivel,Filial 4,Indisponivel
Pó compacto,Roupas,84.79,Indisponivel,Filial 5,Indisponivel
Batom líquido,Alimentos,39.5,Indisponivel,Filial 1,Indisponivel
Máscara de cílios,Roupas,46.11,Indisponivel,Filial 7,Indisponivel
Corretivo,Roupas,6.33,Indisponivel,Filial 1,Indisponivel
Pó compacto,Eletrônicos,14.72,Indisponivel,Filial 9,Indisponivel
Pó compacto,Alimentos,4.53,Indisponivel,Filial 10,Indisponivel
Base líquida,Roupas,9.4,Indisponivel,Filial 6,Indisponivel
Lápis de sobrancelha,Roupas,98.36,Indisponivel,Filial 3,Indisponivel
Base líquida,Roupas,81.94,Indisponivel,Filial 8,Indisponivel
Pó compacto,Alimentos,98.12,Indisponivel,Filial 2,Indisponivel
Delineador líquido,Eletrodomésticos,29.74,Indisponivel,Filial 10,Indisponivel
Lápis de sobrancelha,Alimentos,90.75,Indisponivel,Filial 8,Indisponivel
Sombra de olhos,Eletrônicos,29.42,Indisponivel,Filial 4,Indisponivel
Base líquida,Eletrônicos,26.3,Indisponivel,Filial 3,Indisponivel
Máscara de cílios,Eletrodomésticos,58.82,Indisponivel,Filial 2,Indisponivel
Batom matte,Eletrodomésticos,3.76,Indisponivel,Filial 8,Indisponivel
Pó compacto,Roupas,71.76,Indisponivel,Filial 2,Indisponivel
Batom líquido,Eletrodomésticos,46.67,Indisponivel,Filial 9,Indisponivel
Sombra de olhos,Alimentos,63.05,Indisponivel,Filial 8,Indisponivel
Batom matte,Eletrodomésticos,51.54,Indisponivel,Filial 5,Indisponivel
Lápis de sobrancelha,Alimentos,12.6,Indisponivel,Filial 1,Indisponivel
Base líquida,Alimentos,20.44,Indisponivel,Filial 9,Indisponivel
Lápis de sobrancelha,Eletrônicos,65.59,Indisponivel,Filial 9,Indisponivel
Sombra de olhos,Eletrodomésticos,26.49,Indisponivel,Filial 1,Indisponivel
Base líquida,Eletrodomésticos,39.91,Indisponivel,Filial 1,Indisponivel
Máscara de cílios,Eletrodomésticos,36.73,Indisponivel,Filial 2,Indisponivel
Delineador líquido,Roupas,42.24,Indisponivel,Filial 2,Indisponivel
Lápis de sobrancelha,Eletrônicos,97.39,Indisponivel,Filial 5,Indisponivel
Delineador líquido,Eletrônicos,64.91,Indisponivel,Filial 1,Indisponivel
Máscara de cílios,Eletrônicos,49.91,Indisponivel,Filial 5,Indisponivel
Lápis de sobrancelha,Eletrônicos,77.23,Indisponivel,Filial 3,Indisponivel
Batom líquido,Eletrodomésticos,30.56,Indisponivel,Filial 8,Indisponivel
Sombra de olhos,Eletrodomésticos,66.85,Indisponivel,Filial 3,Indisponivel
Delineador líquido,Eletrônicos,21.2,Indisponivel,Filial 5,Indisponivel
Batom líquido,Eletrônicos,7.31,Indisponivel,Filial 3,Indisponivel
Máscara de cílios,Alimentos,64.34,Indisponivel,Filial 3,Indisponivel
Pó compacto,Eletrodomésticos,52.5,Indisponivel,Filial 6,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,4.9,Indisponivel,Filial 2,Indisponivel
Lápis de sobrancelha,Eletrônicos,26.63,Indisponivel,Filial 3,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,17.25,Indisponivel,Filial 9,Indisponivel
Máscara de cílios,Eletrodomésticos,9.02,Indisponivel,Filial 8,Indisponivel
Blush em pó,Roupas,29.07,Indisponivel,Filial 7,Indisponivel
Batom matte,Roupas,60.44,Indisponivel,Filial 3,Indisponivel
Sombra de olhos,Roupas,46.11,Indisponivel,Filial 4,Indisponivel
Delineador líquido,Eletrônicos,46.35,Indisponivel,Filial 7,Indisponivel
Máscara de cílios,Eletrônicos,72.93,Indisponivel,Filial 8,Indisponivel
Base líquida,Eletrodomésticos,75.69,Indisponivel,Filial 9,Indisponivel
Lápis de sobrancelha,Roupas,12.06,Indisponivel,Filial 2,Indisponivel
Lápis de sobrancelha,Alimentos,31.4,Indisponivel,Filial 7,Indisponivel
Base líquida,Roupas,55.17,Indisponivel,Filial 5,Indisponivel
Blush em pó,Eletrodomésticos,98.59,Indisponivel,Filial 2,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,2.6,Indisponivel,Filial 4,Indisponivel
Pó compacto,Roupas,59.43,Indisponivel,Filial 2,Indisponivel
Máscara de cílios,Eletrônicos,36.77,Indisponivel,Filial 10,Indisponivel
Batom líquido,Eletrônicos,23.41,Indisponivel,Filial 2,Indisponivel
Sombra de olhos,Eletrônicos,79.37,Indisponivel,Filial 6,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,94.68,Indisponivel,Filial 3,Indisponivel
Delineador líquido,Roupas,91.87,Indisponivel,Filial 9,Indisponivel
Lápis de sobrancelha,Roupas,9.87,Indisponivel,Filial 10,Indisponivel
Sombra de olhos,Eletrônicos,47.87,Indisponivel,Filial 6,Indisponivel
Sombra de olhos,Eletrônicos,56.66,Indisponivel,Filial 4,Indisponivel
Pó compacto,Eletrodomésticos,88.04,Indisponivel,Filial 2,Indisponivel
Pó compacto,Roupas,71.42,Indisponivel,Filial 3,Indisponivel
Lápis de sobrancelha,Eletrônicos,76.3,Indisponivel,Filial 3,Indisponivel
Delineador líquido,Roupas,59.02,Indisponivel,Filial 10,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,15.92,Indisponivel,Filial 6,Indisponivel
Máscara de cílios,Roupas,16.15,Indisponivel,Filial 1,Indisponivel
Lápis de sobrancelha,Roupas,70.08,Indisponivel,Filial 2,Indisponivel
Delineador líquido,Eletrodomésticos,53.23,Indisponivel,Filial 8,Indisponivel
Blush em pó,Eletrodomésticos,71.43,Indisponivel,Filial 9,Indisponivel
Máscara de cílios,Eletrodomésticos,42.78,Indisponivel,Filial 9,Indisponivel
Base líquida,Eletrônicos,65.77,Indisponivel,Filial 3,Indisponivel
Batom matte,Alimentos,27.57,Indisponivel,Filial 1,Indisponivel
Corretivo,Roupas,99.32,Indisponivel,Filial 9,Indisponivel
Lápis de sobrancelha,Roupas,85.7,Indisponivel,Filial 10,Indisponivel
Lápis de sobrancelha,Eletrônicos,91.23,Indisponivel,Filial 10,Indisponivel
Corretivo,Roupas,5.29,Indisponivel,Filial 2,Indisponivel
Lápis de sobrancelha,Eletrônicos,9.59,Indisponivel,Filial 1,Indisponivel
Pó compacto,Roupas,92.53,Indisponivel,Filial 2,Indisponivel
Sombra de olhos,Alimentos,99.45,Indisponivel,Filial 5,Indisponivel
Base líquida,Eletrônicos,21.51,Indisponivel,Filial 6,Indisponivel
Batom líquido,Roupas,4.06,Indisponivel,Filial 9,Indisponivel
Sombra de olhos,Alimentos,42.67,Indisponivel,Filial 7,Indisponivel
Corretivo,Eletrônicos,40.4,Indisponivel,Filial 5,Indisponivel
Máscara de cílios,Eletrônicos,46.91,Indisponivel,Filial 5,Indisponivel
Delineador líquido,Alimentos,38.6,Indisponivel,Filial 4,Indisponivel
Máscara de cílios,Alimentos,77.18,Indisponivel,Filial 3,Indisponivel
Máscara de cílios,Eletrodomésticos,31.81,Indisponivel,Filial 5,Indisponivel
Corretivo,Alimentos,14.24,Indisponivel,Filial 9,Indisponivel
Base líquida,Eletrodomésticos,27.99,Indisponivel,Filial 4,Indisponivel
Pó compacto,Eletrodomésticos,87.44,Indisponivel,Filial 9,Indisponivel
Batom matte,Eletrodomésticos,94.96,Indisponivel,Filial 3,Indisponivel
Batom líquido,Eletrônicos,90.9,Indisponivel,Filial 6,Indisponivel
Blush em pó,Alimentos,34.22,Indisponivel,Filial 6,Indisponivel
Blush em pó,Alimentos,29.81,Indisponivel,Filial 1,Indisponivel
Sombra de olhos,Roupas,51.72,Indisponivel,Filial 6,Indisponivel
Batom matte,Eletrodomésticos,30.82,Indisponivel,Filial 8,Indisponivel
Delineador líquido,Alimentos,12.67,Indisponivel,Filial 7,Indisponivel
Sombra de olhos,Eletrodomésticos,23.98,Indisponivel,Filial 2,Indisponivel
Batom líquido,Alimentos,30.98,Indisponivel,Filial 10,Indisponivel
Batom matte,Eletrodomésticos,28.58,Indisponivel,Filial 7,Indisponivel
Máscara de cílios,Eletrônicos,75.83,Indisponivel,Filial 10,Indisponivel
Corretivo,Alimentos,28.27,Indisponivel,Filial 3,Indisponivel
Delineador líquido,Eletrodomésticos,90.47,Indisponivel,Filial 2,Indisponivel
Delineador líquido,Alimentos,22.22,Indisponivel,Filial 4,Indisponivel
Sombra de olhos,Eletrônicos,56.18,Indisponivel,Filial 8,Indisponivel
Corretivo,Eletrônicos,13.68,Indisponivel,Filial 1,Indisponivel
Blush em pó,Alimentos,25.96,Indisponivel,Filial 10,Indisponivel
Corretivo,Eletrônicos,69.51,Indisponivel,Filial 7,Indisponivel
Máscara de cílios,Eletrônicos,6.6,Indisponivel,Filial 9,Indisponivel
Batom líquido,Alimentos,87.22,Indisponivel,Filial 9,Indisponivel
Blush em pó,Eletrônicos,56.72,Indisponivel,Filial 5,Indisponivel
Base líquida,Eletrônicos,67.46,Indisponivel,Filial 5,Indisponivel
Delineador líquido,Eletrodomésticos,6.29,Indisponivel,Filial 3,Indisponivel
Blush em pó,Alimentos,75.81,Indisponivel,Filial 4,Indisponivel
Blush em pó,Eletrônicos,51.78,Indisponivel,Filial 10,Indisponivel
Lápis de sobrancelha,Eletrônicos,68.43,Indisponivel,Filial 2,Indisponivel
Lápis de sobrancelha,Roupas,52.53,Indisponivel,Filial 10,Indisponivel
Delineador líquido,Eletrodomésticos,51.97,Indisponivel,Filial 4,Indisponivel
Sombra de olhos,Alimentos,24.06,Indisponivel,Filial 3,Indisponivel
Batom líquido,Alimentos,12.41,Indisponivel,Filial 7,Indisponivel
Blush em pó,Roupas,4.08,Indisponivel,Filial 7,Indisponivel
Pó compacto,Alimentos,24.79,Indisponivel,Filial 6,Indisponivel
Blush em pó,Eletrônicos,36.76,Indisponivel,Filial 9,Indisponivel
Batom líquido,Eletrônicos,19.22,Indisponivel,Filial 8,Indisponivel
Blush em pó,Eletrônicos,63.01,Indisponivel,Filial 9,Indisponivel
Sombra de olhos,Alimentos,16.06,Indisponivel,Filial 4,Indisponivel
Pó compacto,Eletrodomésticos,80.6,Indisponivel,Filial 10,Indisponivel
Corretivo,Alimentos,69.9,Indisponivel,Filial 5,Indisponivel
Corretivo,Alimentos,27.12,Indisponivel,Filial 9,Indisponivel
Corretivo,Eletrodomésticos,7.77,Indisponivel,Filial 8,Indisponivel
Máscara de cílios,Eletrônicos,11.24,Indisponivel,Filial 5,Indisponivel
Máscara de cílios,Eletrodomésticos,39.83,Indisponivel,Filial 5,Indisponivel
Delineador líquido,Eletrodomésticos,3.97,Indisponivel,Filial 9,Indisponivel
Corretivo,Alimentos,30.07,Indisponivel,Filial 1,Indisponivel
Pó compacto,Eletrodomésticos,66.59,Indisponivel,Filial 5,Indisponivel
Blush em pó,Alimentos,25.83,Indisponivel,Filial 3,Indisponivel
Delineador líquido,Eletrônicos,21.92,Indisponivel,Filial 5,Indisponivel
Corretivo,Eletrônicos,35.23,Indisponivel,Filial 9,Indisponivel
Pó compacto,Eletrônicos,22.28,Indisponivel,Filial 3,Indisponivel
Batom líquido,Eletrodomésticos,51.1,Indisponivel,Filial 6,Indisponivel
Sombra de olhos,Eletrodomésticos,61.89,Indisponivel,Filial 1,Indisponivel
Batom matte,Alimentos,19.69,Indisponivel,Filial 8,Indisponivel
Máscara de cílios,Roupas,89.17,Indisponivel,Filial 9,Indisponivel
Corretivo,Alimentos,41.59,Indisponivel,Filial 1,Indisponivel
Delineador líquido,Eletrônicos,14.67,Indisponivel,Filial 2,Indisponivel
Máscara de cílios,Roupas,55.76,Indisponivel,Filial 8,Indisponivel
Batom líquido,Eletrodomésticos,26.06,Indisponivel,Filial 5,Indisponivel
Corretivo,Alimentos,9.14,Indisponivel,Filial 6,Indisponivel
Sombra de olhos,Eletrodomésticos,64.64,Indisponivel,Filial 8,Indisponivel
Delineador líquido,Eletrodomésticos,57.87,Indisponivel,Filial 1,Indisponivel
Batom líquido,Roupas,69.1,Indisponivel,Filial 3,Indisponivel
Batom líquido,Alimentos,41.35,Indisponivel,Filial 4,Indisponivel
Sombra de olhos,Eletrodomésticos,97.46,Indisponivel,Filial 7,Indisponivel
Pó compacto,Eletrodomésticos,46.69,Indisponivel,Filial 9,Indisponivel
Base líquida,Roupas,79.47,Indisponivel,Filial 1,Indisponivel
Corretivo,Alimentos,18.53,Indisponivel,Filial 4,Indisponivel
Máscara de cílios,Alimentos,77.19,Indisponivel,Filial 8,Indisponivel
Corretivo,Eletrodomésticos,92.37,Indisponivel,Filial 5,Indisponivel
Corretivo,Eletrônicos,11.84,Indisponivel,Filial 1,Indisponivel
Lápis de sobrancelha,Roupas,65.18,Indisponivel,Filial 4,Indisponivel
Máscara de cílios,Roupas,2.81,Indisponivel,Filial 4,Indisponivel
Corretivo,Roupas,91.26,Indisponivel,Filial 7,Indisponivel
Delineador líquido,Eletrodomésticos,43.7,Indisponivel,Filial 2,Indisponivel
Máscara de cílios,Alimentos,58.36,Indisponivel,Filial 2,Indisponivel
Blush em pó,Eletrodomésticos,93.92,Indisponivel,Filial 9,Indisponivel
Máscara de cílios,Eletrônicos,98.07,Indisponivel,Filial 2,Indisponivel
Máscara de cílios,Eletrodomésticos,28.63,Indisponivel,Filial 5,Indisponivel
Pó compacto,Eletrônicos,61.67,Indisponivel,Filial 5,Indisponivel
Batom matte,Roupas,56.5,Indisponivel,Filial 10,Indisponivel
Batom líquido,Alimentos,47.76,Indisponivel,Filial 6,Indisponivel
Sombra de olhos,Roupas,30.49,Indisponivel,Filial 3,Indisponivel
Base líquida,Eletrônicos,56.13,Indisponivel,Filial 9,Indisponivel
Blush em pó,Alimentos,82.59,Indisponivel,Filial 8,Indisponivel
Delineador líquido,Eletrônicos,13.42,Indisponivel,Filial 4,Indisponivel
Batom matte,Alimentos,39.35,Indisponivel,Filial 1,Indisponivel
Lápis de sobrancelha,Eletrônicos,42.17,Indisponivel,Filial 4,Indisponivel
Batom líquido,Roupas,82.32,Indisponivel,Filial 1,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,11.96,Indisponivel,Filial 9,Indisponivel
Corretivo,Alimentos,95.8,Indisponivel,Filial 1,Indisponivel
Máscara de cílios,Eletrodomésticos,14.82,Indisponivel,Filial 7,Indisponivel
Base líquida,Alimentos,51.18,Indisponivel,Filial 7,Indisponivel
Base líquida,Eletrônicos,37.26,Indisponivel,Filial 4,Indisponivel
Pó compacto,Roupas,82.9,Indisponivel,Filial 9,Indisponivel
Delineador líquido,Eletrodomésticos,56.1,Indisponivel,Filial 2,Indisponivel
Corretivo,Eletrônicos,18.37,Indisponivel,Filial 2,Indisponivel
Pó compacto,Alimentos,86.4,Indisponivel,Filial 6,Indisponivel
Sombra de olhos,Eletrônicos,70.19,Indisponivel,Filial 3,Indisponivel
Lápis de sobrancelha,Roupas,44.29,Indisponivel,Filial 10,Indisponivel
Corretivo,Alimentos,64.62,Indisponivel,Filial 3,Indisponivel
Sombra de olhos,Alimentos,53.29,Indisponivel,Filial 7,Indisponivel
Corretivo,Roupas,71.02,Indisponivel,Filial 8,Indisponivel
Pó compacto,Eletrodomésticos,82.45,Indisponivel,Filial 8,Indisponivel
Corretivo,Eletrodomésticos,8.14,Indisponivel,Filial 10,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,13.38,Indisponivel,Filial 9,Indisponivel
